nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
1568,3,1,24 Mar 12,9,2,1,2011,5,7000,,1,,4,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,0,1,,1,2,0,,,5,3,2,,,5,1,1,2,,,,1,enzo muzo,3,5,1,13,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,1,4,2,,2,,2,,2,,2,,1,3,2,,2,,2,,2,,2,,,,1,1,2,2,2,1,1,2,,6,4,4,3,1,1,1,1,1,3,1,3,1,3,1,1,3,3,1,3,1,3,1,2,3,1,1,1,3,3,1,,,,,,rio negro,12,18,2,28,2,2,3,2,,1,1,10,2011,2,,2,1,1,alba,3,5,2,43,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ns_nc,25000,2,2,2,1,1,72,,ns_nc,2,1,3,,,rio negro,12,1,1,79,,8,2,rio negro,12,5,,,,5,5,5,5,5,5,5,5,5,5,2,,5,2,1,1,1,1,,1,1,1,1,2,1,2,3,2,3,1,1,10,10,1,10,10,10,5,1,5,,10,5,5,1,1,1,1,10,10,10,1,10,10,10,4,3,6,3,1,1,2,2,1,5,5,5,5,5,10,1,1,4,3,5,9,5,9,3,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,7000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,146,-.07,.47999999,2540
1570,2,1,20 Sep 11,15,2,1,2003,5,4835,,1,,4,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,0,0,1,,1,2,2,1,,4,1,2,,,5,1,1,2,,,,5,ezequiel,3,5,1,15,1,1,brian,3,5,1,14,4,2,karina,3,5,2,12,2,2,nauel,5,5,1,15,1,2,richard,3,5,1,15,1,2,1,5,1,5,1,4,2,,1,20,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,,,1,1,2,1,2,2,1,2,,3,1,1,3,3,2,3,2,1,2,1,3,3,3,2,2,3,3,1,3,1,1,3,2,1,2,1,1,1,3,1,,,,,,rocha,14,18,1,28,1,1,1,2,,1,1,20,2009,2,,2,1,5,santiago,3,5,1,22,3,1,monica,3,5,1,40,3,1,nicolas,3,5,1,35,2,1,alejandro,3,5,1,35,2,1,shaila,3,5,2,34,2,1,1,5,35000,1,1,1,1,1,65,,3,7,8,,,,rocha,14,1,1,63,,9,5,rocha,14,5,,,,3,3,2,4,4,5,5,5,4,3,2,,3,2,2,1,1,3,3,2,2,2,2,2,1,1,3,1,3,1,1,10,10,1,10,10,10,2,3,10,10,10,1,2,10,4,5,5,10,10,10,3,10,10,10,4,4,5,3,1,1,2,1,4,1,10,10,8,8,10,5,3,4,4,5,5,5,5,9,1,1,1,1,2,2,2,2,2,2,3,3,4,4,3,4,3,4,3,1,3,3,,,,,,,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,20000,0,"h.11 refiere importe (1000), no corresponde",,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,162,1.55,1.37,2540
1571,2,1,11 Sep 11,15,2,1,2004,5,7650,,1,,3,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,0,0,1,,1,1,3,2,paro,4,3,2,,,5,1,2,2,,,,3,adriana,3,4,2,14,4,2,franco,3,4,1,15,4,2,yamila,3,4,2,14,4,2,,,,,,,,,,,,,,,1,10,1,10,1,10,2,,1,10,2,,1,6,2,,2,,1,1,1,1,1,8,2,,2,,2,,1,5,2,,2,,,,2,1,1,2,2,1,1,2,,3,1,3,3,3,1,3,3,1,3,2,3,3,3,3,2,3,3,3,3,1,1,2,3,1,1,1,3,3,3,2,1,1,5,0,1,montevideo,1,16,1,25,2,2,2,2,,1,1,10,2011,1,6,ninguno,1,5,marcela,3,5,2,37,2,1,lourdes,2,5,2,39,2,2,graciela,2,5,2,39,2,1,eva,5,5,2,37,2,1,adriana,2,5,2,38,2,ns_nc,1,5,40000,2,2,2,1,1,65,,4,4,2,,,,montevideo,1,1,1,70,,4,2,montevideo,1,8,,,,4,3,4,3,3,5,4,2,4,5,3,,5,2,2,1,1,5,5,5,1,1,1,3,3,2,2,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,10,3,3,3,10,10,10,10,10,10,10,10,10,5,7,5,3,1,3,4,4,10,10,5,10,1,1,10,1,1,4,2,2,5,5,5,6,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,24000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,148,-.73000002,.95999998,2540
1575,2,1,12 Oct 11,9,2,1,2009,1,,,1,,3,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,0,0,1,,2,4,0,,,5,2,2,,,4,1,2,2,,,,1,lucia,2,2,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ns_nc,1,ns_nc,1,ns_nc,2,,1,ns_nc,2,,2,,2,,2,,2,,1,ns_nc,2,,2,,2,,1,99,2,,2,,2,,,,1,1,1,2,2,2,2,2,,2,1,4,3,2,1,3,1,1,2,1,3,1,3,1,1,3,2,1,3,1,1,3,3,1,1,1,3,1,3,1,,,,,,montevideo,1,17,2,29,2,2,2,2,,1,1,ns_nc,2010,1,ns_nc,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,35000,2,2,2,1,1,74,,9,3,1,,,,florida,8,1,1,70,,9,3,durazno,6,ns_nc,,,,4,4,3,3,4,4,5,3,3,5,1,,4,2,ns_nc,ns_nc,ns_nc,5,5,5,1,1,1,4,1,1,3,3,3,1,1,10,10,1,10,10,10,10,5,10,5,10,10,10,10,1,5,5,10,10,10,5,10,10,10,4,4,5,3,1,1,4,4,10,5,ns_nc,1,10,10,10,1,1,4,1,5,5,5,5,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,9,2,9,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1576,2,1,14 Oct 11,22,2,1,2006,7,,,1,,3,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,0,0,1,,1,3,0,,,5,2,2,,,4,1,2,2,,,,3,maria,3,4,2,14,3,2,joana,2,3,2,13,4,2,tamara,2,3,2,13,4,2,,,,,,,,,,,,,,,1,1,2,,1,5,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,2,2,2,2,2,2,2,,3,1,5,3,1,3,2,3,1,2,1,3,1,3,1,1,3,2,1,2,1,2,3,1,1,1,1,3,1,3,1,,,,,,montevideo,1,17,2,25,5,5,2,2,,1,1,7,2009,2,,ninguno,3,5,graciela,1,5,2,39,ns_nc,4,graciela,3,5,2,43,4,5,rosita,1,5,2,47,4,1,rosa,1,5,2,29,ns_nc,4,patricia,1,5,2,38,ns_nc,1,1,5,20000,1,1,2,1,2,,41,9,ns_nc,1,2,6,,montevideo,1,1,1,60,,9,ns_nc,montevideo,1,8,,,,3,2,3,2,2,4,3,4,2,2,1,,5,2,1,2,1,4,4,2,1,2,1,2,1,2,1,1,1,1,1,10,10,1,10,10,10,10,5,10,10,10,5,10,10,1,10,10,10,10,10,5,10,10,10,5,5,5,3,1,4,4,1,1,3,3,10,10,2,9,5,2,4,3,5,3,4,5,9,1,1,1,1,2,2,2,2,ns_nc,4,4,4,4,4,4,4,4,4,4,1,3,4,,,,,,,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,20000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,147,-.98000002,-1.29,366
1577,2,1,17 Oct 11,7,2,1,2008,5,3000,,1,,3,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,0,1,,1,1,2,1,,5,1,2,,,4,2,2,2,,,,2,wendy bissoto,1,5,1,14,3,2,belen,2,2,1,14,3,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,14,1,10,2,,1,ns_nc,2,,1,4,2,,2,,2,,2,,2,,2,,1,4,2,,2,,2,,2,,,,1,1,2,2,2,2,1,2,,3,1,5,3,1,1,3,3,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,3,1,3,1,3,2,1,3,8,0,3,montevideo,1,15,2,19,5,5,6,2,,2,1,,,1,2,15,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,25000,2,1,2,1,1,64,,11,2,8,,,,cerro largo,4,1,2,,58,1,2,lavalleja,9,8,,,,3,2,3,5,3,5,1,3,2,5,1,,5,1,2,2,2,1,1,1,1,1,1,2,3,2,3,1,1,1,1,10,10,1,10,10,10,10,7,10,10,10,10,10,10,5,10,10,10,10,5,10,10,10,10,2,1,5,3,1,1,4,1,1,10,10,1,10,10,10,1,1,4,9,9,9,4,4,6,1,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,153,.38999999,,1744
1578,2,1,16 Sep 11,5,2,1,1990,2,,,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,0,0,1,,2,3,0,,,5,3,1,1,4,5,1,2,2,,,,5,agustina,2,3,2,14,4,2,florencia,2,3,2,14,4,2,elisa,2,3,2,14,4,2,camila,1,5,2,13,4,2,fiorella,1,5,2,13,4,2,1,2,1,4,1,10,2,,1,20,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,,,1,1,2,2,2,2,1,2,,3,5,4,3,2,1,3,1,2,3,1,3,1,3,1,1,2,3,2,3,2,2,2,2,1,1,1,1,3,2,2,1,3,2,1,1,montevideo,1,20,1,24,2,2,2,2,,1,1,10,2010,2,,ninguno,2,5,mariana,4,4,2,45,4,1,elena,4,5,2,50,4,1,ana,4,4,2,52,4,1,ana,4,4,2,50,4,1,gustavo,3,5,1,42,4,1,1,5,40000,2,2,2,1,2,,73,4,,,,,,0,,1,2,,71,2,,0,,,,,,5,4,4,3,4,5,3,5,5,4,1,,4,2,1,2,1,9,9,4,1,2,1,4,1,2,1,2,1,1,1,10,5,5,10,10,10,10,10,10,10,10,1,3,1,1,10,1,5,10,10,5,10,10,10,7,4,5,2,1,1,4,1,10,10,5,10,10,5,10,1,5,3,4,4,2,5,9,15,1,1,1,1,2,2,2,2,2,3,4,3,4,4,3,3,3,4,4,1,4,4,,,,,,,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,30000,g.8.b refiere 48 max 12,,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,158,.99000001,.88,1744
1579,2,1,08 Dec 11,13,2,1,2009,5,4000,,1,,2,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,1,1,1,2,0,0,1,,1,5,0,,,5,1,2,,,4,1,2,2,,,,2,sayana,3,3,2,14,4,2,romina,3,1,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,1,20,2,,1,25,1,4,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,6,2,,2,,,,1,1,2,2,2,2,2,2,,3,1,5,3,3,1,3,3,3,2,3,3,3,3,3,1,3,2,3,3,2,1,3,1,1,3,3,3,2,3,2,1,2,8,0,4,canelones,3,14,2,25,4,4,2,2,,2,2,,,2,,6,3,1,karen,1,4,2,41,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,20000,1,2,1,1,2,,72,9,3,2,,,,montevideo,1,1,2,,78,8,3,rivera,13,8,,,,4,3,2,2,2,4,1,4,2,4,1,,4,1,2,1,1,5,5,6,1,1,1,2,1,1,1,2,1,1,1,10,10,10,10,10,10,1,5,10,10,10,1,5,1,1,10,1,10,10,10,1,10,10,10,5,6,5,1,2,2,2,1,10,10,1,10,1,1,10,10,10,4,4,4,4,4,4,15,3,3,3,3,2,2,2,2,1,3,4,3,3,3,3,3,3,3,3,2,3,4,,,,,,,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8000,22000,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1744
1580,2,1,,7,2,1,2009,5,,,1,,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,0,1,,1,3,0,,,1,3,2,,,3,1,2,2,,,,4,Sin nombre,3,3,1,14,3,2,Sin nombre,3,3,2,14,5,2,Sin nombre,3,3,2,18,1,2,Sin nombre,3,3,2,14,5,2,,,,,,,,2,,2,,1,21,2,,2,,1,22,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,2,1,2,2,1,2,2,,3,1,5,3,1,3,3,1,1,2,1,3,1,3,1,1,3,3,1,1,1,3,3,1,1,3,1,1,2,3,2,1,3,3,0,1,montevideo,1,18,1,16,5,5,1,2,,1,1,10,2010,2,,20,3,1,Sin nombre,3,5,2,53,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,25000,2,1,1,1,2,,60,ns_nc,3,2,5,,,rocha,14,1,2,,76,,2,salto,15,6,,,,2,1,1,,2,3,5,,1,5,1,,1,1,ns_nc,1,ns_nc,4,4,6,1,1,1,3,1,2,3,1,3,1,1,10,3,2,10,10,10,10,9,10,10,10,1,5,10,1,6,,2,10,10,10,10,10,10,1,1,5,2,4,2,2,1,5,10,10,1,10,10,10,1,1,4,4,9,4,4,4,4,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,1,2,9,1,2,1,2,2,2,1,1,1,2,2,2,9,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1744
1581,3,1,23 Sep 11,5,2,1,2010,5,5000,,1,,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,0,0,1,,2,2,0,,,4,3,1,2,19,5,1,2,2,,,,5,debora,1,5,2,14,4,2,maria jose,2,3,2,14,4,2,paula,2,3,2,13,4,2,javier,1,5,1,14,4,2,agustina,2,3,2,13,4,2,2,,1,7,1,15,2,,1,14,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,1,1,2,2,2,1,2,,3,5,5,3,3,1,3,3,1,2,1,3,2,3,1,1,3,3,1,3,1,1,3,3,1,1,1,2,3,3,2,1,1,8,0,1,rivera,13,15,2,21,4,4,1,2,,2,1,3,2009,2,,ninguno,2,5,isabel,3,5,2,52,2,1,carolina,3,5,2,29,3,1,sonia,4,5,2,43,2,1,maria,3,5,2,37,2,1,macarena,3,5,2,29,2,1,1,5,35000,2,2,1,1,1,79,,11,2,3,,,,rivera,13,1,2,,50,5,2,rivera,13,5,,,,4,2,3,5,3,5,5,5,5,5,1,,5,2,1,2,1,5,9,5,1,2,1,4,1,1,1,1,3,1,1,10,10,1,10,10,10,10,10,10,10,10,5,10,1,1,10,1,10,10,10,1,10,10,10,5,3,5,3,1,1,4,1,1,1,1,10,10,10,10,1,1,4,2,4,4,4,4,10,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,,,,,,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,20000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,151,-.11,-6.54,1744
1585,3,1,07 Dec 11,13,2,1,2001,2,,,1,,4,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,2,1,0,1,1,,1,2,5,1,,2,3,2,,,4,1,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,4,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,,,2,1,2,2,2,2,2,2,,2,1,5,3,1,1,3,1,1,3,3,1,3,2,1,1,3,1,1,3,2,1,3,1,1,3,3,3,1,3,1,,,,,,montevideo,1,15,1,17,5,5,5,2,,1,1,3,2009,1,2,20,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,15000,2,2,2,1,1,78,,9,3,5,,,,treinta y tres,19,1,1,75,,9,2,montevideo,1,8,,,,4,4,3,2,4,4,1,1,2,4,3,,4,2,ns_nc,1,1,7,7,7,1,1,1,2,1,1,1,2,1,1,1,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,10,10,10,10,10,1,10,10,10,8,8,1,3,2,2,2,1,1,10,10,10,1,1,10,1,10,4,2,4,4,4,4,8,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1744
1586,4,1,01 Oct 11,5,2,1,2005,5,6000,,1,,4,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,0,0,1,,1,1,0,,,4,2,2,,,4,1,2,2,,,,5,Sin nombre,2,3,1,14,4,1,Sin nombre,2,3,1,14,4,2,Sin nombre,3,5,1,14,4,2,Sin nombre,2,3,2,16,4,2,Sin nombre,1,5,1,14,4,2,1,7,2,,1,25,2,,1,3,2,,1,3,2,,1,2,2,,2,,2,,2,,2,,2,,1,7,2,,2,,,,1,1,2,2,2,2,2,2,,3,1,5,2,1,1,3,2,1,2,1,3,1,3,1,1,3,1,1,3,2,1,2,1,1,1,1,3,1,3,2,1,3,4,1,2,montevideo,1,19,1,20,2,2,2,2,,1,1,13,2010,2,,ninguno,1,2,Sin nombre,5,5,2,30,3,4,Sin nombre,5,4,2,37,3,4,,,,,,,,,,,,,,,,,,,,,,1,5,20000,1,2,2,1,1,64,,5,ns_nc,6,,,,montevideo,1,2,,,,,,0,,,,,,4,4,3,4,4,5,5,5,5,4,1,,3,2,1,2,1,5,5,5,1,1,1,4,2,2,3,1,1,1,1,10,3,1,10,10,10,10,5,10,10,10,1,10,10,5,10,1,10,10,10,10,10,10,10,5,7,1,3,1,1,1,1,1,10,5,5,10,1,10,1,1,4,2,9,4,5,5,7,1,1,1,1,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,0,6000,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,143,-1.21,1.24,1744
1587,2,1,15 Sep 11,5,2,1,1974,2,,,1,,2,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,2,1,1,0,1,,1,ninguna,0,,,3,3,2,,,5,1,1,2,,,,2,Sin nombre,2,2,2,14,4,2,Sin nombre,2,2,2,14,4,2,,,,,,,,,,,,,,,,,,,,,,1,4,2,,1,35,2,,1,40,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,1,2,2,2,2,2,,2,5,5,3,3,2,1,3,3,3,1,3,2,3,1,1,1,3,3,3,1,3,2,2,1,2,1,1,3,1,2,1,3,7,0,1,montevideo,1,18,1,33,2,2,2,2,,1,1,1,2010,2,,ninguno,2,5,sandra,6,5,2,43,3,1,nancy,6,5,2,43,3,1,patricia,6,5,2,40,3,1,alejandra,4,4,2,36,ns_nc,1,yusara,4,4,2,36,ns_nc,1,4,2,25000,2,2,2,1,1,72,,9,2,3,,,,tacuarembo,18,1,1,68,,3,4,montevideo,1,8,,,,4,3,4,4,4,4,2,4,4,4,2,,5,2,2,2,2,6,2,4,1,2,1,4,1,2,3,1,1,1,1,10,10,1,10,10,10,10,6,10,1,10,10,10,10,1,10,10,10,10,10,10,10,10,10,7,6,6,3,4,4,3,2,10,10,6,10,6,1,10,7,1,4,3,3,5,5,5,11,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,2,3,4,,,,,,,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,163,1.04,1.15,1744
1588,3,1,21 Feb 12,0,2,1,1983,2,,,1,,3,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,0,2,1,,1,ninguna,25,2,sabia que repetia,1,5,2,,,4,1,1,2,,,,3,Sin nombre,2,3,1,14,4,2,Sin nombre,3,1,1,14,4,2,Sin nombre,3,1,1,14,4,2,,,,,,,,,,,,,,,2,,1,ns_nc,1,10,2,,1,ns_nc,2,,2,,2,,2,,ns_nc,,2,,2,,2,,2,,2,,2,,2,,ns_nc,,,,1,2,2,2,2,1,1,1,con los amigos mas grandes,3,5,3,1,3,2,3,3,1,1,3,3,3,2,1,3,3,3,3,3,3,1,ns_nc,1,3,1,3,1,2,3,2,1,3,7,0,ns_nc,durazno,6,30,2,37,1,1,2,2,,1,1,5,2011,2,,ninguno,2,1,Sin nombre,6,5,2,37,ns_nc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,25000,1,2,2,1,2,,83,11,7,3,7,,,durazno,6,1,2,,80,9,2,durazno,6,3,,,,5,5,3,5,1,5,5,3,5,4,7,,5,2,1,1,1,9,3,2,1,1,1,2,1,2,1,1,1,1,1,10,5,5,10,10,10,10,5,10,10,10,10,10,10,5,5,10,10,10,10,1,10,10,10,4,4,1,3,2,1,1,1,3,10,4,10,10,10,10,10,5,4,4,4,5,5,5,11,1,1,1,1,2,2,2,2,1,4,4,4,3,4,4,4,4,4,4,1,3,3,1,,,8,,,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,145,-1.02,-.63999999,1744
1589,3,1,15 Sep 11,5,2,1,1996,1,,,1,,3,1,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,0,0,1,,1,2,0,,,5,3,2,,,5,1,2,2,,,,5,maria de los angeles,5,5,2,15,,2,rebeca,5,5,2,14,4,2,micaela,3,5,2,14,4,2,camila,2,3,2,14,4,2,maria jose,2,3,2,14,4,2,1,14,2,,2,,2,,1,4,2,,2,,2,,1,6,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,1,2,1,2,2,2,2,2,,3,1,4,3,1,1,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,3,2,3,2,3,1,,,,,,colonia,5,15,1,24,6,6,9,2,,1,1,15,2011,1,7,ninguno,1,5,gabriela,5,5,2,37,3,1,sebastian,5,5,1,38,3,1,maria laura,5,5,2,33,4,1,marta,5,5,2,52,4,1,elena,5,5,2,33,4,1,1,5,20000,2,2,2,1,1,75,,9,2,1,6,,,colonia,5,1,2,,72,7,4,colonia,5,1,5,,,5,5,5,5,4,5,5,5,3,5,7,,1,2,1,1,1,7,3,5,1,2,1,2,3,2,1,1,1,1,1,10,10,1,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,5,10,10,10,5,3,7,3,1,1,1,1,3,10,10,10,10,5,10,1,1,4,3,5,5,5,5,5,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1744
